OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,Order Quantity,Discount Applied,Unit Price,Unit Cost,Customer Names,Product Name,Sales Team,City Name,Population,Household Income,Median Income,State,Unit Profit
SO - 000120,Online,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-11,2018-06-17,USD,4,0.05,3095.4,1795.3319999999999,E. Ltd,Wall Frames,Paul Holmes,Spring Hill,100270,39038,41308,Florida,1300.0680000000002
SO - 000121,Wholesale,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-18,2018-06-20,USD,4,0.4,2278.0,1754.06,U.S. Ltd,Outdoor Decor,Patrick Graham,Wayne,142010,52540,35884,Indiana,523.94
SO - 000122,In-Store,WARE-PUJ1005,2018-04-10,2018-06-02,2018-06-10,2018-06-16,USD,7,0.075,991.6,654.456,Linde ,Cookware,Keith Griffin,Dayton,140599,57316,27683,Ohio,337.144
SO - 000123,In-Store,WARE-XYS1001,2018-04-10,2018-06-02,2018-06-26,2018-06-28,USD,2,0.2,3979.8,3064.4460000000004,Select ,Table Linens,Shawn Cook,Burbank,105319,41361,66076,California,915.3539999999998
SO - 000124,Distributor,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-22,2018-07-02,USD,3,0.4,1969.8,866.712,Qualitest ,Outdoor Furniture,Roy Rice,Warren,135358,53493,43523,Michigan,1103.088
SO - 000125,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-16,2018-06-24,USD,1,0.15,268.0,131.32,Rochester Ltd,Bakeware,Chris Armstrong,Rockford,148278,58559,38716,Illinois,136.68
SO - 000126,Online,WARE-NMK1003,2017-12-31,2018-06-02,2018-06-21,2018-07-01,USD,7,0.1,174.20000000000002,95.81000000000002,U.S. Ltd,Wall Frames,Shawn Wallace,Stamford (Town),128874,46974,79359,Connecticut,78.39
SO - 000127,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-26,2018-07-06,USD,3,0.075,2988.2000000000003,2510.088,OHTA'S Corp,Sculptures,Shawn Cook,Cary,159769,56034,91579,North Carolina,478.1120000000001
SO - 000128,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-20,2018-06-29,USD,4,0.05,3999.9,2679.9330000000004,OHTA'S Corp,Clocks,Joshua Ryan,Fargo,118523,49962,46175,North Dakota,1319.9669999999996
SO - 000129,Distributor,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-21,2018-06-22,USD,3,0.05,5976.400000000001,2450.324,Capweld ,Platters,Anthony Torres,Greeley,100883,33774,48813,Colorado,3526.0760000000005
SO - 000130,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-27,2018-06-29,USD,5,0.1,2901.1,2378.9019999999996,Procter Corp,Vases,George Lewis,Bridgeport,147629,50367,41801,Connecticut,522.1980000000003
SO - 000131,In-Store,WARE-PUJ1005,2018-04-10,2018-06-03,2018-06-26,2018-07-05,USD,7,0.075,6076.900000000001,2734.6050000000005,"Apotheca, Ltd",Accessories,George Lewis,Murfreesboro,126118,44518,51094,Tennessee,3342.295
SO - 000132,Online,WARE-PUJ1005,2017-12-31,2018-06-03,2018-06-05,2018-06-10,USD,7,0.2,5735.2,4186.696,Amylin Group,Mirrors,Todd Roberts,Knoxville,185291,81073,34226,Tennessee,1548.504
SO - 000133,Online,WARE-UHY1004,2017-12-31,2018-06-03,2018-06-30,2018-07-10,USD,3,0.1,3919.5,2077.335,U.S. Ltd,Dinnerware,Nicholas Cunningham,Sterling Heights,132052,49444,60089,Michigan,1842.165
SO - 000134,Online,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-30,2018-07-05,USD,1,0.05,6083.6,3832.668,Llorens Ltd,Sculptures,Frank Brown,Spokane,213272,87623,42386,Washington,2250.9320000000002
SO - 000135,Wholesale,WARE-MKL1006,2018-04-10,2018-06-03,2018-06-14,2018-06-15,USD,5,0.075,2566.1,1642.304,WakeFern ,Rugs,Donald Reynolds,Pearland,108821,34776,95972,Texas,923.7959999999998
SO - 000136,Distributor,WARE-NBV1002,2017-12-31,2018-06-03,2018-06-07,2018-06-13,USD,2,0.075,2278.0,1093.44,Dharma Ltd,Wardrobes,Joe Price,Torrance,148475,55377,79549,California,1184.56
SO - 000137,In-Store,WARE-UHY1004,2017-12-31,2018-06-03,2018-06-14,2018-06-21,USD,1,0.075,261.3,120.19800000000001,U.S. Ltd,Cookware,Shawn Cook,Spring Valley,183937,70748,50192,Nevada,141.102
SO - 000138,Online,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-28,2018-07-08,USD,8,0.05,998.3000000000001,698.8100000000001,Capweld ,Furniture Cushions,Carl Nguyen,Renton,100242,37994,64802,Washington,299.49
SO - 000139,In-Store,WARE-NMK1003,2017-12-31,2018-06-03,2018-06-13,2018-06-21,USD,6,0.2,3497.4,1958.5440000000003,OUR Ltd,Rugs,Chris Armstrong,Arvada,115368,44615,69938,Colorado,1538.8559999999998
SO - 000140,In-Store,WARE-NMK1003,2017-12-31,2018-06-03,2018-06-18,2018-06-28,USD,4,0.05,1132.3,486.88899999999995,Mylan Corp,TV and video,Joshua Ryan,Overland Park,186515,74830,72463,Kansas,645.4110000000001
SO - 000141,In-Store,WARE-XYS1001,2017-12-31,2018-06-03,2018-06-15,2018-06-17,USD,7,0.05,2405.3,1587.4980000000003,Mylan Corp,Photo Frames,Shawn Cook,Glendale,201020,71498,52574,California,817.8019999999999
SO - 000142,Distributor,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-24,2018-07-03,USD,8,0.05,5701.7,3249.9689999999996,Burt's Corp,Table Lamps,Roy Rice,Milwaukee,600155,230807,35958,Wisconsin,2451.731
SO - 000143,Distributor,WARE-UHY1004,2017-12-31,2018-06-04,2018-06-09,2018-06-16,USD,1,0.2,2452.2000000000003,1446.798,Eminence Corp,Bedroom Furniture,Patrick Graham,Las Cruces,101643,38925,41330,New Mexico,1005.4020000000003
SO - 000144,In-Store,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-30,2018-07-04,USD,3,0.05,3095.4,2012.0100000000002,Ohio ,Ornaments,Joshua Little,Chandler,260828,88973,72695,Arizona,1083.3899999999999
SO - 000145,Online,WARE-UHY1004,2017-12-31,2018-06-04,2018-06-12,2018-06-14,USD,4,0.4,3865.9,2164.9040000000005,Linde ,Cocktail Glasses,Roger Alexander,Columbia,102116,39893,100849,Maryland,1700.9959999999996
SO - 000146,Distributor,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-10,2018-06-15,USD,8,0.1,2304.8,1382.88,"Elorac, Corp",Ornaments,Douglas Tucker,Fresno,520052,161914,41531,California,921.9200000000001
SO - 000147,Online,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-21,2018-06-24,USD,3,0.05,3195.9,1470.114,Ole Group,Table Linens,Frank Brown,Fullerton,140847,45031,65974,California,1725.786
SO - 000148,Online,WARE-PUJ1005,2017-12-31,2018-06-04,2018-06-19,2018-06-26,USD,7,0.05,6452.1,5161.68,Bare ,Outdoor Decor,Shawn Wallace,Philadelphia,1567442,581050,38253,Pennsylvania,1290.42
SO - 000149,Distributor,WARE-NMK1003,2017-12-31,2018-06-05,2018-06-14,2018-06-17,USD,3,0.3,2003.3,921.518,ETUDE Ltd,Stemware,Roy Rice,Hartford,124006,45239,30630,Connecticut,1081.782
SO - 000150,Distributor,WARE-XYS1001,2018-04-10,2018-06-05,2018-06-28,2018-07-07,USD,8,0.05,3638.1,1455.24,Pacific Ltd,Cocktail Glasses,Douglas Tucker,Antioch,110542,33718,64329,California,2182.8599999999997
SO - 000151,In-Store,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-14,2018-06-17,USD,3,0.075,2278.0,1822.4,Qualitest ,Pillows,Chris Armstrong,Stamford,128874,46974,79359,Connecticut,455.5999999999999
SO - 000152,Online,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-25,2018-06-29,USD,6,0.3,924.6,582.498,Prasco Group,Wine Storage,Anthony Berry,Augusta,201793,73917,39464,Georgia,342.102
SO - 000153,Online,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-21,2018-07-01,USD,5,0.05,3926.2000000000003,3062.436,Medsep Group,Stemware,Nicholas Cunningham,Waterbury,108802,40213,40467,Connecticut,863.7640000000001
SO - 000154,Distributor,WARE-MKL1006,2017-12-31,2018-06-05,2018-06-12,2018-06-18,USD,4,0.075,3825.7000000000003,2257.163,Burt's Corp,TV and video,Douglas Tucker,Alexandria,153511,66879,89134,Virginia,1568.5370000000003
SO - 000155,Wholesale,WARE-MKL1006,2017-12-31,2018-06-05,2018-07-03,2018-07-08,USD,3,0.05,2257.9,1377.319,Ole Group,Serveware,Shawn Torres,Renton,100242,37994,64802,Washington,880.5810000000001
SO - 000156,Distributor,WARE-NMK1003,2017-12-31,2018-06-06,2018-07-02,2018-07-08,USD,8,0.075,1112.2,756.296,OHTA'S Corp,Outdoor Decor,Roy Rice,Davenport,102582,41100,47343,Iowa,355.904
SO - 000157,Online,WARE-NMK1003,2017-12-31,2018-06-06,2018-06-22,2018-06-23,USD,8,0.05,3557.7000000000003,1814.4270000000001,Dharma Ltd,Home Fragrances,Nicholas Cunningham,Bridgeport,147629,50367,41801,Connecticut,1743.2730000000001
SO - 000158,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-06-09,2018-06-12,USD,3,0.4,2371.8,1233.3360000000002,Medsep Group,Home Fragrances,Todd Roberts,Pasadena,142250,54536,72402,California,1138.464
SO - 000159,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-07-01,2018-07-04,USD,1,0.4,857.6,686.08,Niconovum Corp,Cookware,Paul Holmes,Pomona,153266,39378,49186,California,171.51999999999998
SO - 000160,In-Store,WARE-UHY1004,2017-12-31,2018-06-07,2018-06-14,2018-06-16,USD,5,0.3,3892.7000000000003,2880.598,Trigen ,Bar Tools,Joshua Little,Fargo,118523,49962,46175,North Dakota,1012.1020000000003
SO - 000161,In-Store,WARE-NMK1003,2017-12-31,2018-06-07,2018-06-13,2018-06-15,USD,6,0.075,3477.3,1390.92,Mylan Corp,Floral,Jerry Green,Aurora,200661,61449,63090,Illinois,2086.38
SO - 000162,Online,WARE-NMK1003,2017-12-31,2018-06-07,2018-06-11,2018-06-21,USD,5,0.1,3738.6,2803.95,Pacific Ltd,Pillows,Todd Roberts,Aurora (Township),148308,44798,49797,Illinois,934.6500000000001
SO - 000163,Online,WARE-PUJ1005,2018-04-10,2018-06-07,2018-06-10,2018-06-13,USD,5,0.3,1072.0,589.6,"PEDIFIX, Corp",Cocktail Glasses,Anthony Torres,Buffalo,258071,110549,31918,New York,482.4
SO - 000164,In-Store,WARE-NMK1003,2018-04-10,2018-06-07,2018-07-01,2018-07-02,USD,7,0.05,2257.9,1761.162,Select ,Sculptures,Stephen Payne,Gainesville,130128,47968,31818,Florida,496.73800000000006
SO - 000165,Online,WARE-UHY1004,2018-04-10,2018-06-07,2018-06-11,2018-06-13,USD,3,0.1,1058.6000000000001,751.6060000000001,E. Ltd,Sculptures,Shawn Wallace,Greensboro,285342,114080,41628,North Carolina,306.994
SO - 000166,Online,WARE-NBV1002,2018-04-10,2018-06-07,2018-06-15,2018-06-25,USD,4,0.1,2492.4,1296.048,Ascend Ltd,Floor Lamps,Todd Roberts,Santa Maria,105093,27365,50433,California,1196.352
SO - 000167,In-Store,WARE-NBV1002,2018-04-10,2018-06-07,2018-06-13,2018-06-21,USD,5,0.05,3852.5,2465.6,S.S.S. Group,Ornaments,Chris Armstrong,San Buenaventura (Ventura),109708,41029,66995,California,1386.9
SO - 000168,Distributor,WARE-UHY1004,2017-12-31,2018-06-08,2018-06-19,2018-06-25,USD,8,0.05,241.20000000000002,132.66000000000003,Llorens Ltd,Platters,Douglas Tucker,Grand Rapids,195097,73026,40355,Michigan,108.53999999999999
SO - 000169,In-Store,WARE-XYS1001,2017-12-31,2018-06-08,2018-06-11,2018-06-17,USD,2,0.15,1051.9,494.39300000000003,Avon Corp,Table Linens,Joshua Ryan,El Cajon,103679,32564,45925,California,557.5070000000001
SO - 000170,Distributor,WARE-NMK1003,2017-12-31,2018-06-08,2018-06-14,2018-06-19,USD,5,0.3,227.8,107.066,Apollo Ltd,Blankets,Patrick Graham,Palatine (Township),114057,42938,77545,Illinois,120.73400000000001
SO - 000171,Distributor,WARE-MKL1006,2018-04-10,2018-06-08,2018-06-14,2018-06-15,USD,5,0.05,1078.7,506.989,ETUDE Ltd,Mirrors,Roy Rice,Odessa,118968,39057,59337,Texas,571.711
SO - 000172,Wholesale,WARE-NMK1003,2018-04-10,2018-06-08,2018-06-13,2018-06-20,USD,8,0.15,1005.0,743.7,"PEDIFIX, Corp",Blankets,Carlos Miller,Fort Collins,161175,58918,55647,Colorado,261.29999999999995
SO - 000173,Distributor,WARE-PUJ1005,2018-04-10,2018-06-08,2018-07-03,2018-07-09,USD,5,0.05,2485.7000000000003,1317.4210000000003,Pure Group,Home Fragrances,Roy Rice,Gresham,110553,38773,46956,Oregon,1168.279
SO - 000174,In-Store,WARE-NMK1003,2018-04-10,2018-06-08,2018-06-30,2018-07-06,USD,3,0.05,2659.9,2154.5190000000002,New Ltd,Wine Storage,Jerry Green,Atlanta,463878,185820,47527,Georgia,505.38099999999986
SO - 000175,In-Store,WARE-NMK1003,2018-04-10,2018-06-09,2018-06-28,2018-07-03,USD,1,0.075,2224.4,1579.324,Avon Corp,Cookware,Adam Hernandez,New Haven,130322,49771,37192,Connecticut,645.076
SO - 000176,In-Store,WARE-MKL1006,2018-04-10,2018-06-09,2018-06-12,2018-06-16,USD,7,0.2,2472.3,1260.873,Wuxi Group,Table Linens,Joshua Little,Round Rock,115997,35580,72412,Texas,1211.4270000000001
SO - 000177,In-Store,WARE-UHY1004,2018-04-10,2018-06-09,2018-06-23,2018-06-24,USD,5,0.05,1011.7,799.243,Trigen ,Outdoor Furniture,Stephen Payne,Fayetteville,201963,78439,43630,North Carolina,212.457
SO - 000178,Wholesale,WARE-UHY1004,2018-04-10,2018-06-09,2018-07-05,2018-07-13,USD,6,0.2,234.5,128.97500000000002,Dharma Ltd,Phones,Donald Reynolds,Durham,257636,100513,50420,North Carolina,105.52499999999998
SO - 000179,Online,WARE-NMK1003,2018-04-10,2018-06-09,2018-06-14,2018-06-17,USD,4,0.075,261.3,143.71500000000003,Llorens Ltd,Ornaments,Todd Roberts,Elgin,112111,35075,60499,Illinois,117.58499999999998
SO - 000180,Online,WARE-XYS1001,2017-12-31,2018-06-09,2018-06-27,2018-07-01,USD,7,0.1,4006.6,2844.6859999999997,Procter Corp,Pendants,Shawn Wallace,Fremont,232206,72684,105355,California,1161.9140000000002
SO - 000181,In-Store,WARE-UHY1004,2018-04-10,2018-06-09,2018-07-05,2018-07-13,USD,7,0.05,1333.3,866.645,21st Ltd,Phones,Jerry Green,Boston,667137,256294,55777,Massachusetts,466.655
SO - 000182,In-Store,WARE-UHY1004,2018-04-10,2018-06-10,2018-07-07,2018-07-09,USD,5,0.05,167.5,90.45,OUR Ltd,Outdoor Furniture,Jonathan Hawkins,Reno,241445,92283,47012,Nevada,77.05
SO - 000183,Online,WARE-MKL1006,2018-04-10,2018-06-10,2018-06-28,2018-07-02,USD,7,0.075,3195.9,1821.6629999999998,E. Ltd,Wreaths,Paul Holmes,Plano,283558,103937,83793,Texas,1374.2370000000003
SO - 000184,Online,WARE-PUJ1005,2018-04-10,2018-06-10,2018-06-30,2018-07-05,USD,1,0.05,1051.9,809.9630000000001,Eminence Corp,Outdoor Furniture,Anthony Torres,Abilene,121721,42348,43189,Texas,241.937
SO - 000185,Online,WARE-XYS1001,2017-12-31,2018-06-10,2018-06-30,2018-07-03,USD,4,0.1,5447.1,3540.6150000000002,Medsep Group,Phones,Roger Alexander,Mesa,471825,168914,48809,Arizona,1906.4850000000001
SO - 000186,Online,WARE-NMK1003,2018-04-10,2018-06-10,2018-06-16,2018-06-24,USD,2,0.075,3182.5,1973.15,O.E. Ltd,Basketball,Todd Roberts,Louisville,760026,0,0,Kentucky,1209.35
SO - 000187,In-Store,WARE-MKL1006,2017-12-31,2018-06-11,2018-06-29,2018-07-01,USD,3,0.1,891.1,632.681,Niconovum Corp,Wall Coverings,Joshua Bennett,Richardson,110815,40020,72427,Texas,258.419
SO - 000188,Online,WARE-NMK1003,2017-12-31,2018-06-11,2018-06-16,2018-06-19,USD,2,0.2,3892.7000000000003,2724.89,Wuxi Group,Candleholders,Roger Alexander,Elgin,112111,35075,60499,Illinois,1167.8100000000004
SO - 000189,Online,WARE-UHY1004,2017-12-31,2018-06-11,2018-06-13,2018-06-16,USD,2,0.4,3953.0,3360.0499999999997,Procter Corp,Cocktail Glasses,Todd Roberts,Las Cruces,101643,38925,41330,New Mexico,592.9500000000003
SO - 000190,Online,WARE-NMK1003,2017-12-31,2018-06-11,2018-06-28,2018-07-07,USD,2,0.3,924.6,545.514,Ascend Ltd,Bathroom Furniture,Anthony Torres,Indianapolis,862781,316037,51682,Indiana,379.086
SO - 000191,Online,WARE-NMK1003,2018-04-10,2018-06-11,2018-07-07,2018-07-08,USD,7,0.3,3430.4,1989.6319999999998,Ohio ,Blankets,Anthony Torres,South Bend,101516,39448,34523,Indiana,1440.7680000000003
SO - 000192,Distributor,WARE-NMK1003,2018-04-10,2018-06-11,2018-06-28,2018-07-06,USD,7,0.075,1152.4,622.296,Burt's Corp,Festive,Joe Price,Peoria,115070,47239,45552,Illinois,530.104
SO - 000193,Distributor,WARE-NMK1003,2018-04-10,2018-06-11,2018-06-21,2018-06-24,USD,4,0.1,1085.4,922.59,Prasco Group,Platters,Samuel Fowler,Palm Bay,107888,37821,43163,Florida,162.81000000000006
SO - 000194,In-Store,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-16,2018-06-22,USD,5,0.1,5031.7,4025.36,Apollo Ltd,Outdoor Furniture,Stephen Payne,Des Moines,210330,81717,46290,Iowa,1006.3399999999997
SO - 000195,Distributor,WARE-NMK1003,2018-04-10,2018-06-12,2018-06-28,2018-07-03,USD,7,0.15,1092.1000000000001,436.8400000000001,Pure Group,Outdoor Decor,Roy Rice,Lakewood,152597,63159,56954,Colorado,655.26
SO - 000196,Wholesale,WARE-XYS1001,2017-12-31,2018-06-12,2018-06-25,2018-06-27,USD,7,0.05,187.6,144.452,Procter Corp,Furniture Cushions,Shawn Torres,Carlsbad,113453,42791,90597,California,43.147999999999996
SO - 000197,Online,WARE-NMK1003,2017-12-31,2018-06-12,2018-07-09,2018-07-16,USD,4,0.05,3993.2000000000003,2835.172,S.S.S. Group,Cookware,Shawn Wallace,Arvada,115368,44615,69938,Colorado,1158.0280000000002
SO - 000198,Online,WARE-MKL1006,2017-12-31,2018-06-12,2018-06-15,2018-06-18,USD,5,0.05,2472.3,1433.934,Ei ,Outdoor Furniture,Paul Holmes,Renton,100242,37994,64802,Washington,1038.3660000000002
SO - 000199,In-Store,WARE-XYS1001,2018-04-10,2018-06-12,2018-07-05,2018-07-14,USD,4,0.05,1206.0,844.1999999999999,Niconovum Corp,Audio,Chris Armstrong,Clovis,104180,34512,62666,California,361.80000000000007
SO - 000200,Online,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-22,2018-06-29,USD,5,0.05,1728.6000000000001,985.302,Procter Corp,Rugs,Anthony Torres,Sandy Springs,105330,43058,63917,Georgia,743.2980000000001
SO - 000201,Wholesale,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-20,2018-06-29,USD,7,0.075,1983.2,1447.736,E. Ltd,Accessories,Carlos Miller,Spring Hill,100270,39038,41308,Florida,535.4639999999999
SO - 000202,Online,WARE-NMK1003,2018-04-10,2018-06-12,2018-07-10,2018-07-14,USD,2,0.2,5313.1,2656.55,Linde ,Ornaments,Anthony Torres,York,125730,47997,76285,Illinois,2656.55
SO - 000203,Distributor,WARE-XYS1001,2018-04-10,2018-06-12,2018-06-17,2018-06-25,USD,5,0.075,871.0,566.15,Winthrop ,Accessories,Anthony Torres,Palmdale,158351,42720,52392,California,304.85
SO - 000204,Online,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-27,2018-07-01,USD,2,0.1,2532.6,2051.406,Ascend Ltd,Festive,Carl Nguyen,Schaumburg (Township),132162,49006,74034,Illinois,481.19399999999996
SO - 000205,Online,WARE-NMK1003,2018-04-10,2018-06-13,2018-06-25,2018-06-26,USD,4,0.075,5916.1,4673.719,Linde ,Cookware,Paul Holmes,Denver,682545,275795,53637,Colorado,1242.3810000000003
SO - 000206,Online,WARE-UHY1004,2017-12-31,2018-06-13,2018-06-23,2018-07-01,USD,1,0.075,2887.7000000000003,1443.8500000000001,OUR Ltd,Candleholders,Todd Roberts,Durham,257636,100513,50420,North Carolina,1443.8500000000001
SO - 000207,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-20,2018-06-22,USD,7,0.1,1855.9,1447.602,Ole Group,Ornaments,Adam Hernandez,Lexington-Fayette,314488,125752,49778,Kentucky,408.298
SO - 000208,In-Store,WARE-XYS1001,2018-04-10,2018-06-13,2018-06-17,2018-06-19,USD,5,0.1,207.70000000000002,135.00500000000002,Procter Corp,Floor Lamps,Keith Griffin,Palmdale,158351,42720,52392,California,72.695
SO - 000209,In-Store,WARE-MKL1006,2017-12-31,2018-06-13,2018-06-29,2018-07-06,USD,3,0.05,1058.6000000000001,772.7780000000001,WakeFern ,Table Lamps,Keith Griffin,Provo,115264,32506,41291,Utah,285.822
SO - 000210,Online,WARE-UHY1004,2018-04-10,2018-06-13,2018-07-03,2018-07-13,USD,7,0.1,958.1,517.374,Pure Group,Bar Tools,Todd Roberts,Manchester,110229,45145,54282,New Hampshire,440.726
SO - 000211,In-Store,WARE-NMK1003,2018-04-10,2018-06-13,2018-07-08,2018-07-18,USD,7,0.2,2659.9,1675.737,Select ,Wreaths,Joshua Bennett,Lawrence (Township),123397,48011,50411,Indiana,984.163
SO - 000212,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-07-05,2018-07-13,USD,3,0.1,2217.7000000000003,1707.6290000000004,Rochester Ltd,Cocktail Glasses,Shawn Cook,Sandy Springs,105330,43058,63917,Georgia,510.0709999999999
SO - 000213,Online,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-17,2018-06-20,USD,1,0.3,1715.2,857.6,Medline ,Ornaments,Anthony Torres,Glendale,201020,71498,52574,California,857.6
SO - 000214,In-Store,WARE-PUJ1005,2018-04-10,2018-06-14,2018-07-06,2018-07-09,USD,7,0.15,3932.9,1691.147,Prasco Group,Vases,Joshua Bennett,Eugene,163460,66093,43101,Oregon,2241.753
SO - 000215,In-Store,WARE-NMK1003,2017-12-31,2018-06-14,2018-06-19,2018-06-20,USD,2,0.05,2546.0,1909.5,Ole Group,Rugs,Keith Griffin,Palatine (Township),114057,42938,77545,Illinois,636.5
SO - 000216,Online,WARE-PUJ1005,2017-12-31,2018-06-14,2018-06-26,2018-07-01,USD,1,0.075,837.5,603.0,Eminence Corp,Floral,Roger Alexander,Yonkers,201116,73073,59049,New York,234.5
